Date,ICCO daily price (US$/tonne)
27/02/2025,"9,099.66"
26/02/2025,"9,089.95"
25/02/2025,"8,668.57"
24/02/2025,"8,408.72"
21/02/2025,"9,106.42"
20/02/2025,"9,961.58"
19/02/2025,"10,050.88"
18/02/2025,"10,123.90"
17/02/2025,"10,107.04"
14/02/2025,"10,170.58"
13/02/2025,"10,337.68"
12/02/2025,"10,010.22"
11/02/2025,"10,045.51"
10/02/2025,"9,714.16"
07/02/2025,"9,901.63"
06/02/2025,"9,982.46"
05/02/2025,"10,430.89"
04/02/2025,"10,747.88"
03/02/2025,"10,761.05"
31/01/2025,"10,722.44"
30/01/2025,"10,912.20"
29/01/2025,"11,352.54"
28/01/2025,"11,109.40"
27/01/2025,"11,191.35"
24/01/2025,"11,337.94"
23/01/2025,"11,235.17"
22/01/2025,"11,335.32"
21/01/2025,"11,098.84"
20/01/2025,"10,849.07"
17/01/2025,"10,642.55"
16/01/2025,"10,061.34"
15/01/2025,"10,249.68"
14/01/2025,"10,247.28"
13/01/2025,"10,295.27"
10/01/2025,"10,012.62"
09/01/2025,"10,316.47"
08/01/2025,"9,981.39"
07/01/2025,"10,682.11"
06/01/2025,"10,698.29"
03/01/2025,"10,693.10"
02/01/2025,"10,580.35"
31/12/2024,"10,888.05"
30/12/2024,"10,676.42"
27/12/2024,"9,544.90"
26/12/2024,"10,233.99"
24/12/2024,"10,943.88"
23/12/2024,"10,969.48"
20/12/2024,"11,197.50"
19/12/2024,"11,414.83"
18/12/2024,"11,984.66"
17/12/2024,"11,280.48"
16/12/2024,"11,350.31"
13/12/2024,"10,816.12"
12/12/2024,"10,388.70"
11/12/2024,"10,136.26"
10/12/2024,"10,124.83"
09/12/2024,"9,727.65"
06/12/2024,"9,462.84"
05/12/2024,"9,459.13"
04/12/2024,"9,020.61"
03/12/2024,"8,720.04"
02/12/2024,"9,073.31"
29/11/2024,"9,099.80"
28/11/2024,"8,956.18"
27/11/2024,"8,784.50"
26/11/2024,"8,868.89"
25/11/2024,"8,638.69"
22/11/2024,"8,671.80"
21/11/2024,"8,272.05"
20/11/2024,"8,151.50"
19/11/2024,"8,165.34"
18/11/2024,"7,887.63"
15/11/2024,"8,098.57"
14/11/2024,"8,434.60"
13/11/2024,"7,885.45"
12/11/2024,"7,598.20"
11/11/2024,"7,200.04"
08/11/2024,"7,039.67"
07/11/2024,"7,130.43"
06/11/2024,"6,691.95"
05/11/2024,"6,950.13"
04/11/2024,"6,989.61"
01/11/2024,"7,017.60"
31/10/2024,"6,964.54"
30/10/2024,"7,015.16"
29/10/2024,"6,911.51"
28/10/2024,"6,519.52"
25/10/2024,"6,341.26"
24/10/2024,"6,263.53"
23/10/2024,"6,471.28"
22/10/2024,"6,541.28"
21/10/2024,"6,721.46"
18/10/2024,"6,744.84"
17/10/2024,"7,000.68"
16/10/2024,"6,939.56"
15/10/2024,"7,108.10"
14/10/2024,"6,872.06"
11/10/2024,"6,907.13"
10/10/2024,"6,667.01"
09/10/2024,"6,535.40"
08/10/2024,"6,216.12"
07/10/2024,"6,094.13"
04/10/2024,"6,193.84"
03/10/2024,"6,124.59"
02/10/2024,"6,099.19"
01/10/2024,"6,153.53"
30/09/2024,"6,491.35"
27/09/2024,"6,826.34"
26/09/2024,"6,678.82"
25/09/2024,"6,526.01"
24/09/2024,"6,485.90"
23/09/2024,"6,491.02"
20/09/2024,"6,438.17"
19/09/2024,"6,445.09"
18/09/2024,"6,491.09"
17/09/2024,"6,355.83"
16/09/2024,"6,460.01"
13/09/2024,"6,411.17"
12/09/2024,"6,353.26"
11/09/2024,"6,416.62"
10/09/2024,"6,246.23"
09/09/2024,"6,445.54"
06/09/2024,"6,244.80"
05/09/2024,"6,256.73"
04/09/2024,"6,052.69"
03/09/2024,"6,297.57"
02/09/2024,"6,444.03"
30/08/2024,"6,517.92"
29/08/2024,"6,548.07"
28/08/2024,"6,519.25"
27/08/2024,"6,563.41"
26/08/2024,"6,756.52"
23/08/2024,"6,657.12"
22/08/2024,"6,613.72"
21/08/2024,"6,574.60"
20/08/2024,"6,582.12"
19/08/2024,"6,477.77"
16/08/2024,"6,361.18"
15/08/2024,"6,291.29"
14/08/2024,"7,189.55"
13/08/2024,"7,299.75"
12/08/2024,"7,179.58"
